url,title,brand,model,year,location,region,price,mileage,fuel,transmission,engine,status
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026,2014 Ford Focus,Ford,Focus,2014,Dakar,Dakar,4 500 000,115000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862,2007 Peugeot 307,Peugeot,307,2007,Dakar,Dakar,2 000 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-rogue-dakar-dakar-2440,2009 Nissan Rogue,Nissan,Rogue,2009,Dakar,Dakar,5 500 000,160000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-fabia-dakar-dakar-611,2007 Skoda Fabia,Skoda,Fabia,2007,Dakar,Dakar,1 800 000,220000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-21-dakar-dakar-2157,2002 Renault 21,Renault,21,2002,Dakar,Dakar,2 700 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3057,2006 Ford Focus,Ford,Focus,2006,Dakar,Dakar,2 150 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899,2008 Ford Edge,Ford,Edge,2008,Dakar,Dakar,7 000 000,125000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575,2008 Peugeot 307,Peugeot,307,2008,Dakar,Dakar,2 800 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-1998,2008 Mitsubishi L200,Mitsubishi,L200,2008,Dakar,Dakar,7 200 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807,2009 Kia Sorento,Kia,Sorento,2009,Dakar,Dakar,3 800 000,140000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855,2008 Nissan Murano,Nissan,Murano,2008,Dakar,Dakar,3 200 000,115305,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1107,2006 Renault Megane,Renault,Megane,2006,Dakar,Dakar,1 700 000,180000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415,2006 Ford Escape,Ford,Escape,2006,Dakar,Dakar,4 500 000,120000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-3223,2002 Peugeot 406,Peugeot,406,2002,Dakar,Dakar,2 200 000,140000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-762,2008 Peugeot 206,Peugeot,206,2008,Dakar,Dakar,2 300 000,164000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3738,2011 Ford Escape,Ford,Escape,2011,Dakar,Dakar,4 000 000,109400,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221,2011 Hyundai Sonata,Hyundai,Sonata,2011,Dakar,Dakar,3 500 000,66000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1890,2000 Renault 19,Renault,19,2000,Dakar,Dakar,1 800 000,180000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-asx-dakar-dakar-1150,2011 Mitsubishi ASX,Mitsubishi,ASX,2011,Dakar,Dakar,6 000 000,94954,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-309-dakar-dakar-4162,2000 Peugeot 309,Peugeot,309,2000,Dakar,Dakar,2 800 000,130000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380,2005 Citroen C5,Citroen,C5,2005,Dakar,Dakar,2 100 000,334000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-elysion-dakar-dakar-1905,2011 Honda Elysion,Honda,Elysion,2011,Dakar,Dakar,3 500 000,160000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364,2007 Peugeot 307,Peugeot,307,2007,Dakar,Dakar,2 500 000,120000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-getz-dakar-dakar-4133,2008 Hyundai Getz,Hyundai,Getz,2008,Dakar,Dakar,1 800 000,98000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569,2007 Peugeot 407,Peugeot,407,2007,Dakar,Dakar,2 800 000,120000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-4197,2008 Land Rover Range Rover Sport,Land,Rover Range Rover Sport,2008,Dakar,Dakar,6 000 000,130000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325,2012 Chevrolet Camaro,Chevrolet,Camaro,2012,Dakar,Dakar,4 000 000,220000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-2193,2000 Volkswagen Golf,Volkswagen,Golf,2000,Dakar,Dakar,1 500 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1326,2007 Peugeot 307,Peugeot,307,2007,Dakar,Dakar,2 300 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4199,2011 Citroen C3,Citroen,C3,2011,Dakar,Dakar,2 800 000,136000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451,2009 Renault Scenic,Renault,Scenic,2009,Dakar,Dakar,1 300 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ssangyong-kyron-dakar-dakar-1184,2007 SsangYong Kyron,SsangYong,Kyron,2007,Dakar,Dakar,2 000 000,120000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-704,2010 Ford Escape,Ford,Escape,2010,Dakar,Dakar,6 000 000,180000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-auris-dakar-dakar-3321,2005 Toyota Auris,Toyota,Auris,2005,Dakar,Dakar,3 500 000,179315,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879,2007 Peugeot 807,Peugeot,807,2007,Dakar,Dakar,2 800 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989,2012 Peugeot 207,Peugeot,207,2012,Dakar,Dakar,3 800 000,142000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-fusion-dakar-dakar-4194,2009 Ford Fusion,Ford,Fusion,2009,Dakar,Dakar,2 000 000,144000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1777,2009 Peugeot 308,Peugeot,308,2009,Dakar,Dakar,2 300 000,311368,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615,2000 Renault 19,Renault,19,2000,Dakar,Dakar,2 000 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-sandero-dakar-dakar-885,2009 Dacia Sandero,Dacia,Sandero,2009,Dakar,Dakar,2 800 000,140000,,Manuelle,N/A,
