web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857591-61","https://www.gaaraas.com/fr/users/dakar-auto?page=86","","","Souscrire à notre newsletter","","","","",""
"1785857591-62","https://www.gaaraas.com/fr/users/dakar-auto?page=86","","","","","","","",""
"1785857596-63","https://www.gaaraas.com/fr/users/dakar-auto?page=85","","","","","","","",""
"1785857596-64","https://www.gaaraas.com/fr/users/dakar-auto?page=85","","","Il n'y a pas d'annonce","","","","",""
"1785857596-65","https://www.gaaraas.com/fr/users/dakar-auto?page=85","","","Souscrire à notre newsletter","","","","",""
"1785857596-66","https://www.gaaraas.com/fr/users/dakar-auto?page=85","","","","","","","",""
"1785857600-67","https://www.gaaraas.com/fr/users/dakar-auto?page=84","","","","","","","",""
"1785857600-68","https://www.gaaraas.com/fr/users/dakar-auto?page=84","","","Il n'y a pas d'annonce","","","","",""
"1785857600-69","https://www.gaaraas.com/fr/users/dakar-auto?page=84","","","Souscrire à notre newsletter","","","","",""
"1785857600-70","https://www.gaaraas.com/fr/users/dakar-auto?page=84","","","","","","","",""
"1785857604-71","https://www.gaaraas.com/fr/users/dakar-auto?page=83","","","","","","","",""
"1785857604-72","https://www.gaaraas.com/fr/users/dakar-auto?page=83","","","Il n'y a pas d'annonce","","","","",""
"1785857604-73","https://www.gaaraas.com/fr/users/dakar-auto?page=83","","","Souscrire à notre newsletter","","","","",""
"1785857604-74","https://www.gaaraas.com/fr/users/dakar-auto?page=83","","","","","","","",""
"1785857609-75","https://www.gaaraas.com/fr/users/dakar-auto?page=82","","","","","","","",""
"1785857609-76","https://www.gaaraas.com/fr/users/dakar-auto?page=82","","","Il n'y a pas d'annonce","","","","",""
"1785857609-77","https://www.gaaraas.com/fr/users/dakar-auto?page=82","","","Souscrire à notre newsletter","","","","",""
"1785857609-78","https://www.gaaraas.com/fr/users/dakar-auto?page=82","","","","","","","",""
"1785857613-79","https://www.gaaraas.com/fr/users/dakar-auto?page=81","","","","","","","",""
"1785857613-80","https://www.gaaraas.com/fr/users/dakar-auto?page=81","","","Il n'y a pas d'annonce","","","","",""
"1785857613-81","https://www.gaaraas.com/fr/users/dakar-auto?page=81","","","Souscrire à notre newsletter","","","","",""
"1785857613-82","https://www.gaaraas.com/fr/users/dakar-auto?page=81","","","","","","","",""
"1785857618-83","https://www.gaaraas.com/fr/users/dakar-auto?page=80","","","","","","","",""
"1785857618-84","https://www.gaaraas.com/fr/users/dakar-auto?page=80","","","Il n'y a pas d'annonce","","","","",""
"1785857618-85","https://www.gaaraas.com/fr/users/dakar-auto?page=80","","","Souscrire à notre newsletter","","","","",""
"1785857618-86","https://www.gaaraas.com/fr/users/dakar-auto?page=80","","","","","","","",""
"1785857622-87","https://www.gaaraas.com/fr/users/dakar-auto?page=79","","","","","","","",""
"1785857622-88","https://www.gaaraas.com/fr/users/dakar-auto?page=79","","","Il n'y a pas d'annonce","","","","",""
"1785857622-89","https://www.gaaraas.com/fr/users/dakar-auto?page=79","","","Souscrire à notre newsletter","","","","",""
"1785857622-90","https://www.gaaraas.com/fr/users/dakar-auto?page=79","","","","","","","",""
"1785857626-91","https://www.gaaraas.com/fr/users/dakar-auto?page=78","","","","","","","",""
